userId,amPm,inputDt,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,startdt1,startdt,enddt1,enddt,inputdt1
117,am,18JAN20:13:16:00,4,2,4,3,3,,,,,,,,,,,,,,,,,,20200118
117,am,19JAN20:09:44:00,4,0,4,3,3,,,,,,,,,,,,,,,,,,20200119
117,am,20JAN20:08:43:00,5,5,4,2,3,,,,,,,,,,,,,,,,,,20200120
117,am,21JAN20:08:23:00,3,2,4,2,3,,,,,,,,,,,,,,,,,,20200121
117,am,22JAN20:08:34:00,4,5,4,2,2,,,,,,,,,,,,,,,,,,20200122
117,am,23JAN20:08:40:00,5,0,4,2,3,,,,,,,,,,,,,,,,,,20200123
117,am,24JAN20:10:22:00,2,2,4,2,3,,,,,,,,,,,,,,,,,,20200124
117,am,25JAN20:07:39:00,2,0,4,1,2,,,,,,,,,,,,,,,,,,20200125
117,am,26JAN20:10:12:00,4,2,4,2,3,,,,,,,,,,,,,,,,,,20200126
117,am,27JAN20:10:20:00,3,8,4,2,3,,,,,,,,,,,,,,,,,,20200127
117,am,28JAN20:08:33:00,3,4,4,4,3,,,,,,,,,,,,,,,,,,20200128
117,am,29JAN20:08:31:00,2,2,4,2,2,,,,,,,,,,,,,,,,,,20200129
117,am,30JAN20:08:44:00,3,2,4,3,2,,,,,,,,,,,,,,,,,,20200130
117,am,31JAN20:08:39:00,1,5,4,2,1,,,,,,,,,,,,,,,,,,20200131
117,am,01FEB20:06:37:00,2,2,4,1,2,,,,,,,,,,,,,,,,,,20200201
117,am,02FEB20:10:38:00,3,0,4,3,3,,,,,,,,,,,,,,,,,,20200202
117,am,03FEB20:07:33:00,4,0,4,2,4,,,,,,,,,,,,,,,,,,20200203
117,pm,18JAN20:22:29:00,,,,,,3,4,1,4,3,3,4,coffee,1,,,,,,,,,20200118
117,pm,19JAN20:22:43:00,,,,,,3,4,2,4,3,3,4,coffee,1,,,,,,,,,20200119
117,pm,20JAN20:22:41:00,,,,,,4,4,2,3,3,3,3,,,,,,,,,,,20200120
117,pm,21JAN20:22:58:00,,,,,,3,4,2,3,3,3,4,,,,,,,,,,,20200121
117,pm,22JAN20:23:02:00,,,,,,3,2,2,3,3,3,4,coffee,1,,,,,,,,,20200122
117,pm,23JAN20:23:17:00,,,,,,4,4,2,2,2,3,3,coffee,1,,,,,,,,,20200123
117,pm,24JAN20:23:24:00,,,,,,4,5,1,2,3,3,4,,,,,b,1,,,,,20200124
117,pm,25JAN20:23:11:00,,,,,,4,5,1,2,2,2,3,,,,,,,,,,,20200125
117,pm,26JAN20:22:35:00,,,,,,2,2,1,3,3,3,2,,,,,w,1,,,,,20200126
117,pm,27JAN20:22:57:00,,,,,,3,4,1,3,3,2,4,,,,,,,,,,,20200127
117,pm,28JAN20:23:14:00,,,,,,3,4,2,4,2,3,4,,,,,,,,,,,20200128
117,pm,29JAN20:23:18:00,,,,,,2,2,2,4,3,2,4,coffee,1,,,,,,,,,20200129
117,pm,30JAN20:23:00:00,,,,,,3,4,2,4,3,2,4,coffee,1,,,,,,,,,20200130
117,pm,31JAN20:23:23:00,,,,,,5,5,2,4,3,3,4,,,,,,,,,,,20200131
117,pm,01FEB20:22:55:00,,,,,,5,4,1,4,2,3,4,,,,,b,1,,,,,20200201
117,pm,02FEB20:22:57:00,,,,,,4,4,1,4,2,3,4,,,,,,,,,,,20200202
105,am,04DEC19:07:33:00,4,0,4,4,3,,,,,,,,,,,,,,,,,,20191204
105,am,05DEC19:10:26:00,4,0,4,3,3,,,,,,,,,,,,,,,,,,20191205
105,am,06DEC19:10:37:00,4,0,4,3,3,,,,,,,,,,,,,,,,,,20191206
105,am,07DEC19:11:11:00,4,0,4,4,3,,,,,,,,,,,,,,,,,,20191207
105,am,08DEC19:16:08:00,2,9,4,2,2,,,,,,,,,,,,,,,,,,20191208
105,am,09DEC19:08:40:00,5,0,4,2,2,,,,,,,,,,,,,,,,,,20191209
105,am,10DEC19:10:43:00,4,0,4,3,3,,,,,,,,,,,,,,,,,,20191210
