userId,amPm,inputDt,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount
117,am,2020-01-18 13:16,4,2,4,3,3,,,,,,,,,,,,,
117,am,2020-01-19 9:44,4,0,4,3,3,,,,,,,,,,,,,
117,am,2020-01-20 8:43,5,5,4,2,3,,,,,,,,,,,,,
117,am,2020-01-21 8:23,3,2,4,2,3,,,,,,,,,,,,,
117,am,2020-01-22 8:34,4,5,4,2,2,,,,,,,,,,,,,
117,am,2020-01-23 8:40,5,0,4,2,3,,,,,,,,,,,,,
117,am,2020-01-24 10:22,2,2,4,2,3,,,,,,,,,,,,,
117,am,2020-01-25 7:39,2,0,4,1,2,,,,,,,,,,,,,
117,am,2020-01-26 10:12,4,2,4,2,3,,,,,,,,,,,,,
117,am,2020-01-27 10:20,3,8,4,2,3,,,,,,,,,,,,,
117,am,2020-01-28 8:33,3,4,4,4,3,,,,,,,,,,,,,
117,am,2020-01-29 8:31,2,2,4,2,2,,,,,,,,,,,,,
117,am,2020-01-30 8:44,3,2,4,3,2,,,,,,,,,,,,,
117,am,2020-01-31 8:39,1,5,4,2,1,,,,,,,,,,,,,
117,am,2020-02-01 6:37,2,2,4,1,2,,,,,,,,,,,,,
117,am,2020-02-02 10:38,3,0,4,3,3,,,,,,,,,,,,,
117,am,2020-02-03 7:33,4,0,4,2,4,,,,,,,,,,,,,
117,pm,2020-01-18 22:29,,,,,,3,4,1,4,3,3,4,coffee,1,,,,
117,pm,2020-01-19 22:43,,,,,,3,4,2,4,3,3,4,coffee,1,,,,
117,pm,2020-01-20 22:41,,,,,,4,4,2,3,3,3,3,,,,,,
117,pm,2020-01-21 22:58,,,,,,3,4,2,3,3,3,4,,,,,,
117,pm,2020-01-22 23:02,,,,,,3,2,2,3,3,3,4,coffee,1,,,,
117,pm,2020-01-23 23:17,,,,,,4,4,2,2,2,3,3,coffee,1,,,,
117,pm,2020-01-24 23:24,,,,,,4,5,1,2,3,3,4,,,,,beer,1
117,pm,2020-01-25 23:11,,,,,,4,5,1,2,2,2,3,,,,,,
117,pm,2020-01-26 22:35,,,,,,2,2,1,3,3,3,2,,,,,wine,1
117,pm,2020-01-27 22:57,,,,,,3,4,1,3,3,2,4,,,,,,
117,pm,2020-01-28 23:14,,,,,,3,4,2,4,2,3,4,,,,,,
117,pm,2020-01-29 23:18,,,,,,2,2,2,4,3,2,4,coffee,1,,,,
117,pm,2020-01-30 23:00,,,,,,3,4,2,4,3,2,4,coffee,1,,,,
117,pm,2020-01-31 23:23,,,,,,5,5,2,4,3,3,4,,,,,,
117,pm,2020-02-01 22:55,,,,,,5,4,1,4,2,3,4,,,,,beer,1
117,pm,2020-02-02 22:57,,,,,,4,4,1,4,2,3,4,,,,,,
105,am,2019-12-04 7:33,4,0,4,4,3,,,,,,,,,,,,,
105,am,2019-12-05 10:26,4,0,4,3,3,,,,,,,,,,,,,
105,am,2019-12-06 10:37,4,0,4,3,3,,,,,,,,,,,,,
105,am,2019-12-07 11:11,4,0,4,4,3,,,,,,,,,,,,,
105,am,2019-12-08 16:08,2,9,4,2,2,,,,,,,,,,,,,
105,am,2019-12-09 8:40,5,0,4,2,2,,,,,,,,,,,,,
105,am,2019-12-10 10:43,4,0,4,3,3,,,,,,,,,,,,,
105,am,2019-12-11 8:30,5,0,4,3,3,,,,,,,,,,,,,
105,am,2019-12-12 10:32,5,0,4,4,3,,,,,,,,,,,,,
105,am,2019-12-13 9:18,5,0,4,3,3,,,,,,,,,,,,,
105,am,2019-12-14 7:59,5,0,4,5,5,,,,,,,,,,,,,
105,am,2019-12-15 10:11,5,0,4,5,5,,,,,,,,,,,,,
105,am,2019-12-16 7:33,5,0,3,5,5,,,,,,,,,,,,,
105,am,2019-12-17 9:37,5,0,4,5,5,,,,,,,,,,,,,
105,am,2019-12-18 11:58,5,0,4,5,5,,,,,,,,,,,,,
105,am,2019-12-19 9:57,5,0,3,5,5,,,,,,,,,,,,,
105,pm,2019-12-04 21:10,,,,,,4,3,2,3,2,2,4,,,,,,
105,pm,2019-12-05 23:48,,,,,,3,4,2,3,4,3,4,,,coffee,1,,
105,pm,2019-12-06 23:57,,,,,,4,5,2,3,4,4,4,,,,,,
105,pm,2019-12-07 23:13,,,,,,5,5,1,3,4,3,4,,,,,,
105,pm,2019-12-08 23:32,,,,,,3,5,1,4,3,4,4,,,,,soju,2
105,pm,2019-12-09 22:38,,,,,,5,5,2,3,4,3,4,coffee,1,,,,
105,pm,2019-12-10 23:32,,,,,,5,4,2,3,4,3,4,,,,,,
105,pm,2019-12-11 23:18,,,,,,5,5,2,3,3,3,4,,,coffee,1,,
105,pm,2019-12-12 23:50,,,,,,5,5,2,3,3,3,4,,,,,,
105,pm,2019-12-13 23:20,,,,,,5,5,2,4,3,3,4,,,,,,
105,pm,2019-12-14 23:39,,,,,,5,5,1,3,3,3,4,,,,,,
105,pm,2019-12-15 23:07,,,,,,5,5,2,3,3,3,4,,,,,,
105,pm,2019-12-16 21:13,,,,,,5,5,2,3,4,3,4,,,,,,
105,pm,2019-12-17 23:40,,,,,,5,5,2,3,3,3,4,,,,,,
104,am,2019-12-04 7:22,2,1,4,2,2,,,,,,,,,,,,,
104,am,2019-12-05 7:15,3,1,4,2,2,,,,,,,,,,,,,
104,am,2019-12-06 7:53,3,0,4,2,3,,,,,,,,,,,,,
104,am,2019-12-07 13:46,4,5,4,3,3,,,,,,,,,,,,,
104,am,2019-12-08 9:32,3,5,4,4,3,,,,,,,,,,,,,
104,am,2019-12-09 8:46,4,1,2,4,3,,,,,,,,,,,,,
104,am,2019-12-11 8:15,4,0,4,2,3,,,,,,,,,,,,,
104,am,2019-12-12 9:01,4,2,2,4,3,,,,,,,,,,,,,
104,am,2019-12-14 4:43,4,2,4,4,4,,,,,,,,,,,,,
104,am,2019-12-15 7:53,3,2,1,4,4,,,,,,,,,,,,,
104,am,2019-12-16 7:00,4,0,2,2,2,,,,,,,,,,,,,
104,am,2019-12-17 7:58,4,0,4,2,3,,,,,,,,,,,,,
104,am,2019-12-18 8:31,2,2,4,1,4,,,,,,,,,,,,,
104,am,2019-12-19 13:15,4,0,4,2,4,,,,,,,,,,,,,
104,am,2019-12-20 8:02,4,0,4,2,4,,,,,,,,,,,,,
104,am,2019-12-21 11:57,4,0,4,4,3,,,,,,,,,,,,,
104,am,2019-12-22 14:05,1,0,4,2,4,,,,,,,,,,,,,
104,am,2019-12-23 8:23,4,5,4,1,4,,,,,,,,,,,,,
104,am,2019-12-24 13:54,3,5,4,2,3,,,,,,,,,,,,,
104,pm,2019-12-04 23:55,,,,,,2,2,2,3,2,4,4,,,coffee,1,,
104,pm,2019-12-05 23:41,,,,,,3,3,2,3,3,4,4,tea,1,coffee,1,,
104,pm,2019-12-07 0:08,,,,,,5,3,2,3,4,4,3,tea,1,,,,
104,pm,2019-12-08 23:17,,,,,,4,4,2,4,3,3,4,,,,,,
104,pm,2019-12-09 23:49,,,,,,4,2,2,3,3,2,3,,,coffee,1,,
104,pm,2019-12-10 21:15,,,,,,4,2,2,4,3,2,4,,,coffee,1,,
104,pm,2019-12-11 23:40,,,,,,4,2,2,3,3,4,3,coffee,1,coffee,1,,
104,pm,2019-12-12 23:35,,,,,,3,3,2,3,3,4,3,,,,,,
104,pm,2019-12-14 21:44,,,,,,4,4,1,4,2,3,4,,,,,soju,2
104,pm,2019-12-15 23:50,,,,,,5,3,2,4,3,3,4,,,coffee,1,beer,1
104,pm,2019-12-16 23:01,,,,,,4,3,2,4,2,2,3,,,coffee,1,,
104,pm,2019-12-17 23:29,,,,,,4,4,1,4,2,4,4,,,coffee,1,,
104,pm,2019-12-18 23:37,,,,,,4,4,2,4,3,4,2,coffee,1,coffee,1,,
104,pm,2019-12-19 23:58,,,,,,4,4,1,2,3,2,2,,,tea,1,,
104,pm,2019-12-20 23:21,,,,,,3,3,2,4,3,3,4,,,,,,
104,pm,2019-12-21 0:00,,,,,,4,5,1,2,3,4,3,coffee,1,coffee,,soju,2
104,pm,2019-12-23 22:55,,,,,,3,4,2,4,2,3,4,coffee,2,,,soju,3
120,am,2020-01-17 11:13,4,0,4,4,4,,,,,,,,,,,,,
120,am,2020-01-18 9:19,5,0,4,3,3,,,,,,,,,,,,,
120,am,2020-01-19 10:05,4,0,2,3,3,,,,,,,,,,,,,
120,am,2020-01-20 11:04,4,9,4,2,3,,,,,,,,,,,,,
120,am,2020-01-21 11:29,4,0,4,2,3,,,,,,,,,,,,,
120,am,2020-01-22 11:32,4,0,4,2,3,,,,,,,,,,,,,
120,am,2020-01-23 9:49,3,9,2,2,3,,,,,,,,,,,,,
120,am,2020-01-24 7:29,4,0,4,2,3,,,,,,,,,,,,,
120,am,2020-01-25 10:09,4,5,2,2,3,,,,,,,,,,,,,
120,am,2020-01-29 11:43,4,9,3,3,4,,,,,,,,,,,,,
120,am,2020-01-30 8:22,3,0,4,2,3,,,,,,,,,,,,,
120,am,2020-01-31 11:31,4,0,4,4,4,,,,,,,,,,,,,
120,am,2020-02-05 11:38,4,0,4,3,3,,,,,,,,,,,,,
120,am,2020-02-06 9:55,4,0,4,2,3,,,,,,,,,,,,,
120,am,2020-02-07 10:57,4,0,4,2,3,,,,,,,,,,,,,
120,am,2020-02-08 11:56,4,0,3,3,4,,,,,,,,,,,,,
120,am,2020-02-10 11:09,4,0,4,3,4,,,,,,,,,,,,,
120,am,2020-02-11 11:20,3,0,4,2,3,,,,,,,,,,,,,
120,am,2020-02-12 9:51,3,0,4,2,3,,,,,,,,,,,,,
120,am,2020-02-13 11:00,3,0,4,2,2,,,,,,,,,,,,,
120,pm,2020-01-18 1:03,,,,,,4,4,2,4,1,4,2,,,,,,
120,pm,2020-01-19 1:02,,,,,,4,4,2,4,2,2,2,,,,,,
120,pm,2020-01-20 2:45,,,,,,3,3,2,4,2,3,2,,,,,,
120,pm,2020-01-21 23:49,,,,,,3,5,2,4,3,2,4,,,,,,
120,pm,2020-01-22 23:58,,,,,,3,4,2,4,1,4,2,,,,,,
120,pm,2020-01-23 23:57,,,,,,4,5,2,2,3,3,4,,,,,soju,1
120,pm,2020-01-24 22:27,,,,,,4,5,2,2,3,3,4,,,,,,
120,pm,2020-01-25 23:39,,,,,,4,2,2,3,4,3,2,,,,,,
120,pm,2020-01-28 22:46,,,,,,4,5,2,2,2,3,4,,,,,,
120,pm,2020-01-29 23:39,,,,,,3,5,2,4,1,2,2,,,,,,
120,pm,2020-01-30 20:55,,,,,,3,3,2,4,1,2,4,,,,,,
120,pm,2020-02-05 23:44,,,,,,4,4,2,4,3,3,4,,,,,,
120,pm,2020-02-06 23:34,,,,,,3,4,2,2,3,3,4,,,,,,
120,pm,2020-02-07 23:20,,,,,,3,2,2,2,3,3,3,,,,,,
120,pm,2020-02-08 23:57,,,,,,4,4,2,2,3,3,2,,,,,soju,1
120,pm,2020-02-09 23:56,,,,,,4,4,2,4,3,3,2,,,,,,
120,pm,2020-02-10 23:42,,,,,,3,4,2,2,2,3,4,,,,,,
120,pm,2020-02-11 23:35,,,,,,3,4,2,4,1,3,2,,,,,,
120,pm,2020-02-12 23:48,,,,,,4,5,2,4,3,3,2,,,,,,
103,am,2020-01-04 10:46,4,0,4,3,4,,,,,,,,,,,,,
103,am,2020-01-05 10:47,5,0,4,3,4,,,,,,,,,,,,,
103,am,2020-01-06 14:54,5,0,4,4,4,,,,,,,,,,,,,
103,am,2020-01-07 11:56,5,0,4,4,4,,,,,,,,,,,,,
103,am,2020-01-08 11:41,2,0,4,2,2,,,,,,,,,,,,,
103,am,2020-01-09 11:30,2,1,4,2,2,,,,,,,,,,,,,
103,am,2020-01-10 10:27,4,0,4,4,4,,,,,,,,,,,,,
103,am,2020-01-11 10:35,2,5,2,2,4,,,,,,,,,,,,,
103,am,2020-01-12 10:55,4,1,4,2,4,,,,,,,,,,,,,
103,am,2020-01-13 10:55,2,5,4,2,3,,,,,,,,,,,,,
103,am,2020-01-14 10:54,4,5,4,3,3,,,,,,,,,,,,,
103,am,2020-01-15 11:20,1,1,4,2,4,,,,,,,,,,,,,
103,am,2020-01-16 11:40,5,0,2,2,4,,,,,,,,,,,,,
103,am,2020-01-17 11:27,4,0,4,4,4,,,,,,,,,,,,,
103,pm,2020-01-04 22:08,,,,,,5,2,1,3,3,3,3,,,,,,
103,pm,2020-01-05 23:37,,,,,,5,3,1,3,3,3,3,,,coffee,1,,
103,pm,2020-01-06 23:25,,,,,,5,5,2,3,3,3,4,,,,,,
103,pm,2020-01-07 23:59,,,,,,5,3,2,3,3,3,4,,,,,,
103,pm,2020-01-08 23:59,,,,,,5,4,1,4,3,2,4,,,,,,
103,pm,2020-01-09 23:58,,,,,,4,4,2,3,3,3,3,,,,,beer,1
103,pm,2020-01-11 23:56,,,,,,4,2,2,3,3,3,4,,,coffee,1,,
103,pm,2020-01-12 23:51,,,,,,2,2,2,4,4,3,3,,,,,,
103,pm,2020-01-13 23:37,,,,,,3,4,2,4,2,3,4,,,coffee,1,,
103,pm,2020-01-14 23:49,,,,,,4,4,2,3,3,4,4,,,coffee,1,,
103,pm,2020-01-15 23:43,,,,,,5,4,2,3,4,3,3,,,,,,
103,pm,2020-01-16 23:57,,,,,,5,4,2,4,2,3,3,,,,,,
114,am,2019-12-06 10:20,3,0,4,2,2,,,,,,,,,,,,,
114,am,2019-12-07 9:52,4,6,4,2,3,,,,,,,,,,,,,
114,am,2019-12-08 10:36,4,2,2,3,3,,,,,,,,,,,,,
114,am,2019-12-09 9:38,4,0,4,4,5,,,,,,,,,,,,,
